[2026-07-29T11:30:25.029Z] [INFO] AI workers disabled (default) - all workers run local-only. Enable with `daemon start --headless`, daemon.aiWorkers.enabled=true, or RUFLO_DAEMON_AI_WORKERS=1 (#2661)
[2026-07-29T11:30:25.032Z] [INFO] Scheduled map (interval: 900s, first run in 0s)
[2026-07-29T11:30:25.033Z] [INFO] Scheduled audit (interval: 600s, first run in 120s)
[2026-07-29T11:30:25.033Z] [INFO] Scheduled optimize (interval: 900s, first run in 240s)
[2026-07-29T11:30:25.033Z] [INFO] Scheduled consolidate (interval: 1800s, first run in 360s)
[2026-07-29T11:30:25.033Z] [INFO] Scheduled testgaps (interval: 1200s, first run in 480s)
[2026-07-29T11:30:25.034Z] [INFO] Scheduled backup (interval: 86400s, first run in 600s)
[2026-07-29T11:30:25.034Z] [INFO] Scheduled harness (interval: 21600s, first run in 720s)
[2026-07-29T11:30:25.035Z] [INFO] Lifecycle monitor active (workspace-removal, ttl=43200s)
[2026-07-29T11:30:25.039Z] [INFO] Daemon started (PID: 27592, CPUs: 16, workers: 7, maxCpuLoad: 12.8, minFreeMemoryPercent: 10%)
[2026-07-29T11:30:25.040Z] [INFO] Worker map deferred: Memory too low: 6.7% free
[2026-07-29T11:32:25.042Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-29T11:32:25.046Z] [INFO] Worker audit completed in 6ms
[2026-07-29T11:32:25.052Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-29T11:32:25.054Z] [INFO] Worker map completed in 5ms
[2026-07-29T11:34:25.041Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-29T11:34:25.042Z] [INFO] Worker optimize completed in 2ms
[2026-07-29T11:36:25.045Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-29T11:36:25.046Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-29T11:36:25.046Z] [INFO] Worker consolidate completed in 5ms
[2026-07-29T11:38:25.049Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-29T11:38:25.049Z] [INFO] Worker testgaps completed in 1ms
[2026-07-29T11:40:25.037Z] [INFO] Starting worker: backup (1/2 concurrent)
[2026-07-29T11:40:25.039Z] [INFO] Worker backup completed in 5ms
[2026-07-29T11:42:25.046Z] [INFO] Starting worker: harness (1/2 concurrent)
[2026-07-29T11:42:25.050Z] [INFO] Worker harness completed in 8ms
[2026-07-29T11:42:25.054Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-29T11:42:25.054Z] [INFO] Worker audit completed in 2ms
[2026-07-29T11:45:25.061Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-29T11:45:25.062Z] [INFO] Worker map completed in 6ms
[2026-07-29T11:49:25.061Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-29T11:49:25.063Z] [INFO] Worker optimize completed in 5ms
[2026-07-29T11:52:25.063Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-29T11:52:25.064Z] [INFO] Worker audit completed in 4ms
[2026-07-29T12:16:10.283Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-29T12:16:10.284Z] [INFO] Worker testgaps completed in 4ms
[2026-07-29T12:16:10.433Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-29T12:16:10.434Z] [INFO] Worker map completed in 3ms
[2026-07-29T12:16:10.587Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-29T12:16:10.588Z] [INFO] Worker optimize completed in 3ms
[2026-07-29T12:16:10.593Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-29T12:16:10.594Z] [INFO] Worker audit completed in 3ms
[2026-07-29T12:16:10.598Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-29T12:16:10.599Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-29T12:16:10.599Z] [INFO] Worker consolidate completed in 2ms
[2026-07-29T15:09:53.037Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-29T15:09:53.039Z] [INFO] Worker audit completed in 310ms
[2026-07-29T15:09:53.048Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-29T15:09:53.049Z] [INFO] Worker map completed in 4ms
[2026-07-29T15:09:53.113Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-29T15:09:53.114Z] [INFO] Worker optimize completed in 3ms
[2026-07-29T15:09:53.118Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-29T15:09:53.118Z] [INFO] Worker testgaps completed in 2ms
[2026-07-29T15:09:53.175Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-29T15:09:53.175Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-29T15:09:53.176Z] [INFO] Worker consolidate completed in 3ms
[2026-07-29T15:19:53.060Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-29T15:19:53.062Z] [INFO] Worker audit completed in 7ms
[2026-07-29T15:24:53.114Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-29T15:24:53.116Z] [INFO] Worker map completed in 5ms
[2026-07-29T15:24:53.122Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-29T15:24:53.122Z] [INFO] Worker optimize completed in 2ms
[2026-07-29T15:29:53.081Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-29T15:29:53.082Z] [INFO] Worker audit completed in 6ms
[2026-07-29T15:29:53.190Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-29T15:29:53.191Z] [INFO] Worker testgaps completed in 5ms
[2026-07-29T15:39:57.838Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-29T15:39:57.840Z] [INFO] Worker audit completed in 7ms
[2026-07-29T15:39:57.869Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-29T15:39:57.872Z] [INFO] Worker map completed in 8ms
[2026-07-29T15:39:57.882Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-29T15:39:57.884Z] [INFO] Worker optimize completed in 6ms
[2026-07-29T15:39:57.930Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-29T15:39:57.931Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-29T15:39:57.932Z] [INFO] Worker consolidate completed in 5ms
[2026-07-29T15:49:57.864Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-29T15:49:57.866Z] [INFO] Worker audit completed in 6ms
[2026-07-29T15:49:57.940Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-29T15:49:57.940Z] [INFO] Worker testgaps completed in 3ms
[2026-07-29T15:54:57.898Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-29T15:54:57.900Z] [INFO] Worker map completed in 7ms
[2026-07-29T15:54:57.906Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-29T15:54:57.907Z] [INFO] Worker optimize completed in 3ms
[2026-07-29T15:59:57.877Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-29T15:59:57.878Z] [INFO] Worker audit completed in 7ms
[2026-07-29T16:09:57.899Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-29T16:09:57.901Z] [INFO] Worker audit completed in 4ms
[2026-07-29T16:09:57.909Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-29T16:09:57.910Z] [INFO] Worker map completed in 5ms
[2026-07-29T16:09:57.918Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-29T16:09:57.919Z] [INFO] Worker optimize completed in 5ms
[2026-07-29T16:09:57.945Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-29T16:09:57.945Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-29T16:09:57.946Z] [INFO] Worker consolidate completed in 4ms
[2026-07-29T16:09:57.955Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-29T16:09:57.956Z] [INFO] Worker testgaps completed in 4ms
[2026-07-29T16:19:57.912Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-29T16:19:57.913Z] [INFO] Worker audit completed in 5ms
[2026-07-29T16:24:57.921Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-29T16:24:57.923Z] [INFO] Worker map completed in 8ms
[2026-07-29T16:24:57.929Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-29T16:24:57.930Z] [INFO] Worker optimize completed in 4ms
[2026-07-29T16:29:57.927Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-29T16:29:57.928Z] [INFO] Worker audit completed in 6ms
[2026-07-29T16:29:57.971Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-29T16:29:57.972Z] [INFO] Worker testgaps completed in 3ms
[2026-07-29T16:39:57.931Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-29T16:39:57.932Z] [INFO] Worker map completed in 5ms
[2026-07-29T16:39:57.939Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-29T16:39:57.940Z] [INFO] Worker optimize completed in 5ms
[2026-07-29T16:39:57.948Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-29T16:39:57.949Z] [INFO] Worker audit completed in 5ms
[2026-07-29T16:39:57.956Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-29T16:39:57.956Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-29T16:39:57.957Z] [INFO] Worker consolidate completed in 4ms
[2026-07-29T16:49:57.971Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-29T16:49:57.971Z] [INFO] Worker audit completed in 2ms
[2026-07-29T16:49:57.986Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-29T16:49:57.986Z] [INFO] Worker testgaps completed in 2ms
[2026-07-29T16:54:57.944Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-29T16:54:57.945Z] [INFO] Worker map completed in 6ms
[2026-07-29T16:54:57.953Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-29T16:54:57.954Z] [INFO] Worker optimize completed in 4ms
[2026-07-29T16:59:57.982Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-29T16:59:57.983Z] [INFO] Worker audit completed in 3ms
[2026-07-29T17:09:57.964Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-29T17:09:57.966Z] [INFO] Worker map completed in 7ms
[2026-07-29T17:09:57.978Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-29T17:09:57.979Z] [INFO] Worker optimize completed in 8ms
[2026-07-29T17:09:57.990Z] [INFO] Starting worker: consolidate (1/2 concurrent)
